Frequency[Hz];Magnitude[dB];Phase[deg]
0,001;-9,820140496157E-6;-0,15984002661627
0,0010391223038352;-1,0603545694105E-5;-0,16609333890894
0,0010797751623277;-1,1449447481153E-5;-0,1725912954543
0,001122018454302;-1,2362831589699E-5;-0,17934346733201
0,0011659144011798;-1,334908148839E-5;-0,18635980006837
0,0012115276586286;-1,4414010133299E-5;-0,19365062828613
0,0012589254117942;-1,5563894212977E-5;-0,2012266909273
0,0013081774742602;-1,680551115932E-5;-0,20909914707171
0,0013593563908785;-1,8146179091123E-5;-0,21727959237448
0,0014125375446228;-1,9593799944913E-5;-0,22578007614656
0,0014677992676221;-2,1156906058291E-5;-0,23461311910373
0,001525222956539;-2,2844710469079E-5;-0,24379173180998
0,0015848931924611;-2,4667161209002E-5;-0,25332943384259
0,0016468978654829;-2,6634999954532E-5;-0,26324027370716
0,0017113283041618;-2,8759825337773E-5;-0,27353884953187
0,0017782794100389;-3,1054161325337E-5;-0,28424033057151
0,0018478497974223;-3,3531531034635E-5;-0,29536047955304
0,0019201419386388;-3,6206536459237E-5;-0,30691567589548
0,0019952623149689;-3,9094944538305E-5;-0,31892293983856
0,002073321573486;-4,2213780116992E-5;-0,33139995751554
0,0021544346900319;-4,5581426290737E-5;-0,34436510700722
0,0022387211385683;-4,9217732797057E-5;-0,35783748541565
0,0023263050671536;-5,3144133014349E-5;-0,3718369369973
0,0024173154808041;-5,7383770344215E-5;-0,38638408239742
0,0025118864315096;-6,1961634638119E-5;-0,40150034902842
0,0026101572156825;-6,6904709531775E-5;-0,41720800263745
0,002712272579332;-7,2242131543919E-5;-0,43353018010939
0,0028183829312645;-7,8005361856016E-5;-0,45049092355392
0,0029286445646252;-8,4228371814842E-5;-0,46811521572697
0,0030432198871077;-9,0947843234691E-5;-0,48642901683862
0,0031622776601684;-9,8203384708184E-5;-0,5054593028021
0,0032859932476007;-0,00010603776513859;-0,52523410498019
0,0034145488738336;-0,00011449716597959;-0,5457825514877
0,0035481338923357;-0,00012363145354624;-0,5671349101113
0,0036869450645196;-0,00013349447311652;-0,58932263290978
0,0038311868495573;-0,00014414436649642;-0,612378402561
0,003981071705535;-0,00015564391493805;-0,63633618052381
0,0041368204023885;-0,00016806090944465;-0,66123125708638
0,0042986623470823;-0,00018146855066449;-0,68710030337483
0,0044668359215096;-0,00019594588069817;-0,71398142539925
0,0046415888336128;-0,00021157824941749;-0,74191422021709
0,0048231784822393;-0,0002284578180256;-0,77093983429711
0,0050118723362727;-0,00024668410285873;-0,80110102417046
0,0052079483285955;-0,00026636456262618;-0,83244221945873
0,0054116952654646;-0,00028761523258619;-0,86500958837249
0,0056234132519035;-0,00031056140941438;-0,89885110577763
0,0058434141337352;-0,0003353383908034;-0,93401662393052
0,0060720219569099;-0,00036209227420773;-0,97055794598705
0,0063095734448019;-0,00039098081944325;-1,0085289023951
0,0065564184941798;-0,00042217438029069;-1,0479854302839
0,0068129206905796;-0,00045585691061763;-1,0889856559688
0,0070794578438414;-0,00049222705099416;-1,1315899806938
0,0073564225445964;-0,00053149930227678;-1,1758611697414
0,007644222742526;-0,00057390529314327;-1,2218644450405
0,0079432823472428;-0,00061969514911429;-1,269667581413
0,0082540418526802;-0,00066913897122992;-1,319341006602
0,0085769589859089;-0,00072252843319436;-1,3709579052322
0,0089125093813374;-0,00078017850655474;-1,4245943268579
0,0092611872812879;-0,00084242932416731;-1,4803292982617
0,0096235062639809;-0,00090964819314925;-1,5382449401724
0,01;-0,0009822317693715;-1,5984265885791
0,010391223038352;-0,0010606084065099;-1,6609629208232
0,010797751623277;-0,0011452406937661;-1,7259460866607
0,01122018454302;-0,0012366281975554;-1,7934718444936
0,011659144011798;-0,0013353104236539;-1,8636397029754
0,012115276586286;-0,0014418700176646;-1,9365530682097
0,012589254117942;-0,0015569362232027;-2,0123193967645
0,013081774742602;-0,0016811886186898;-2,0910503547368
0,013593563908785;-0,0018153611554912;-2,1728619831133
0,014125375446227;-0,0019602465219424;-2,2578748696802
0,014677992676221;-0,0021167008598912;-2,3462143277492
0,01525222956539;-0,0022856488625766;-2,4380105819762
0,015848931924611;-0,0024680892851689;-2,5333989615625
0,016468978654829;-0,0026651009017852;-2,6325201011403
0,017113283041618;-0,0028778489458161;-2,7355201496573
0,017782794100389;-0,0031075920734007;-2,8425509875905
0,018478497974223;-0,0033556898933658;-2,9537704528328
0,019201419386388;-0,0036236111105913;-3,0693425756115
0,019952623149689;-0,0039129423338763;-3,1894378228148
0,020733215734859;-0,0042253976036911;-3,3142333521184
0,021544346900319;-0,0045628287002044;-3,443913276324
0,022387211385683;-0,0049272362970196;-3,5786689383382
0,023263050671536;-0,0053207820320106;-3,7186991972423
0,024173154808041;-0,0057458015729058;-3,8642107259229
0,025118864315096;-0,0062048187621555;-4,0154183207569
0,026101572156825;-0,0067005609332697;-4,1725452238652
0,02712272579332;-0,0072359754991488;-4,3358234584774
0,028183829312644;-0,0078142479220497;-4,5054941779712
0,029286445646252;-0,0084388211849765;-4,6818080291811
0,030432198871077;-0,0091134168953223;-4,8650255305956
0,031622776601684;-0,0098420581638772;-5,0554174660939
0,032859932476006;-0,010629094415744;-5,2532652949025
0,034145488738336;-0,011479228304672;-5,4588615784844
0,035481338923357;-0,012397544918734;-5,6725104251055
0,036869450645196;-0,013389543483516;-5,8945279528575
